,0,1
0,2020-04-28 23:59:34+00:00,"BEER, PIZZA and Coffee! hahaha"
1,2020-04-28 23:30:56+00:00,:)
2,2020-04-28 23:29:48+00:00,Yo lo conocí en la consola virtual del Wii
3,2020-04-28 23:28:37+00:00,Manuel Monzo's Zoom Meeting - Zoom 
4,2020-04-28 23:19:32+00:00,@monzo Yikes. Monzo decided to freeze both of my bank accounts since April 15 due to utilizing my office’s UK address. Till now for about 14 days now I haven’t been able to get a proper response about this issue neither I was able to send or receive payments.
5,2020-04-28 23:04:33+00:00,You try. That’s what you do 
6,2020-04-28 23:02:22+00:00,
7,2020-04-28 23:00:38+00:00,I dyed my hair and look like I belong in a boy band
8,2020-04-28 22:56:20+00:00,さて、仕事だ！ 今日を乗り越えればあひたからは連休！
9,2020-04-28 22:55:40+00:00,We’re all friends here
10,2020-04-28 22:54:22+00:00, thank you matey!
11,2020-04-28 22:53:48+00:00,
12,2020-04-28 22:53:38+00:00,みんなでTENGA五剣描いて山田さんにぶつけるマルチレイドだぞ
13,2020-04-28 22:53:03+00:00,lo peor q pudieron hacer es hacer un grupo de padres la verdaddd
14,2020-04-28 22:52:40+00:00,I’m sorry to hear that /: I’m sure my dad wouldn’t mind a hug
15,2020-04-28 22:50:53+00:00,It’s not even like we hate each other we just don’t hug lmfao
16,2020-04-28 22:50:34+00:00,"Si bien es prematuro sentenciar su desaparición, el ""mauricismo"" está en franco retroceso, aunque obviamente NO los intereses q representa. Factores de poder no del todo convencidos con Larreta 2023, instruyeron a Monzó, Nosiglia, Frigerio y Lousteau, a rosquear un nuevo armado. "
17,2020-04-28 22:49:43+00:00,Haven’t hugged my dads in years
18,2020-04-28 22:48:27+00:00,LMFAO
19,2020-04-28 22:46:20+00:00,Not sure why I am CC’d here. Thanks.
20,2020-04-28 22:42:29+00:00,My monzo should never be in double digits 04-00-04 62265655
21,2020-04-28 22:34:32+00:00,A cambiemos siempre le falto huevos. Salvo a monzo!
22,2020-04-28 22:33:33+00:00,Barber . Kfc . Nightclub
23,2020-04-28 22:31:55+00:00,Un logo nuevo
24,2020-04-28 22:27:19+00:00,"Respecto a los peronistas de Cambiemos dijo Emilio Monzo : ""es tiempo de unidad nacional y terminar con la grieta"". ""A traves de la fina membrana del huevo se ve el reptil formado"" De ""El Huevo de la Serpiente"" de Igmar Berman"
25,2020-04-28 22:26:53+00:00,#GoldenHour #IHateMyself
26,2020-04-28 22:26:23+00:00,たまにはもひとつ上げてみよう。 三女のカレラのうなじ フェチだな。 #PSO2 #メンテの日なのでssを貼る
27,2020-04-28 22:26:08+00:00,"El terreno fértil que necesita el kirchnerismo para comprar voluntades es el ala blanda, línea Monzó e intendentes, la corporación política de los falsos opositores A los ""la grieta ya fue"" los esperan los billetes de la transversalidad. Decantará en 2021. "
28,2020-04-28 22:25:42+00:00,Cuantos de estos creian en una españa comunista? Vasalla de la URSS?
29,2020-04-28 22:16:18+00:00,Barnacules now streaming Just Chatting https://ift.tt/2fnumLN https://ift.tt/2pgztEk every time he streams i send a penny to my #monzo pot
30,2020-04-28 22:10:58+00:00,I used a monzo account just because it was easiest to set up and you can add and take out very easily 
31,2020-04-28 22:10:07+00:00,"Neo Banks, Venture Capital Dumpster Fire or the Future of Finance? Here I lay out exactly whats wrong in the world of #neobanks and how we might fix it. #fintech #venturecapital #monzo #revolut #starling https://youtu.be/ZIUsVCVUqVU"
32,2020-04-28 22:05:23+00:00,Seria mejor que monzo cuadro del peronismo que se pasó con estos mamertos. Sea el líder por lo menos de política sabe. Así se pone más divertido que lo que hace este gordo boludo.
33,2020-04-28 22:04:45+00:00,"@annodistillers gin distillery, making the best craft gins and now hand sanitiser, all with home delivery "
34,2020-04-28 22:04:11+00:00,Plus que 49 ans et 6 mois 
35,2020-04-28 22:03:11+00:00,David villa
36,2020-04-28 22:02:50+00:00,Never have I ever not spent my overall budget for this month on monzo ffs
37,2020-04-28 22:02:49+00:00,Thanks Ross! We’re here for you 
38,2020-04-28 21:58:12+00:00,Excellent work my friend 
39,2020-04-28 21:56:09+00:00,I like who I like and gives results I like. Beauty of this country is we are all allowed our opinions and shouldn’t be told what and who we should and shouldn’t like. Got me? Thanks.
40,2020-04-28 21:45:13+00:00,Es todo una triquiñuela para que lea el libro.
41,2020-04-28 21:45:01+00:00,"Llegint al Quim Monzó de 1984 ja hi havia el PSOE al Gobierno i ja ens tractaven com simples províncies i La Caixa ja feia les expos a Madrid i només en castellà Per sort, hem obert els ulls Ara falta tancar els punys i enllestir el que vam començar... "
42,2020-04-28 21:43:29+00:00,Es que lleva mucho tiempo conCIDnado. No me arrepiendo.
43,2020-04-28 21:39:13+00:00,I regret using Monzo as my main account. #SoSad
44,2020-04-28 21:37:31+00:00,A Thread 
45,2020-04-28 21:37:05+00:00,"I have done this. But I was able to talk myself out of this madness, because I couldn't deny that small voice that reminded me that it wasn't genuine."
46,2020-04-28 21:35:35+00:00,Jopé.
47,2020-04-28 21:34:38+00:00,Yo soy la que se come el hobby de los de la 3.
48,2020-04-28 21:30:33+00:00,"Not reckon they have Monzo in Saudi Arabia like, could send it across in seconds. "
49,2020-04-28 21:29:41+00:00,bueno si ya vimos que salio el arcoiris
50,2020-04-28 21:27:18+00:00,Thank you Nicky! #CoventryRunner
51,2020-04-28 21:26:02+00:00,Thank you 
52,2020-04-28 21:24:02+00:00,"The shape definition of your face, lips "
53,2020-04-28 21:22:08+00:00,"El rey: –Señor Cid, ve a cobrar las parias. El Cid cobra las parias. El rey: –Señor Cid, te destierro. El Cid:"
54,2020-04-28 21:18:56+00:00,"Nothing I hate more than ""don't cry"" and the back pats... I'm going to cry am hurting dammit!"
55,2020-04-28 21:16:15+00:00,"He probably could have been less rude. I understand being shocked, but some things he said to her were unnecessary."
56,2020-04-28 21:15:56+00:00,@SnagTights @FosterFootwear @LucyandYak @dorkfacecreates
57,2020-04-28 21:15:34+00:00,i’ve decided i hate paypal. monzo is where it’s at
58,2020-04-28 21:14:21+00:00, 4/29 59W3D 開始から402日目 #monzo維持期 322日目 TANITA計測 total-8.15㎏（-0.05㎏/47.30㎏） -9.9%(-0.6%/22.1%) BMI18.9 ( ¨̮ ) KIDSたちの、摘んで来てくれた花が可愛い 
59,2020-04-28 21:13:30+00:00,@TheFarmSUA 
60,2020-04-28 21:13:01+00:00,Guess I’m not getting spoken to tonight. Only logged that chat at 6pm... @monzo you should really put estimations on the wait times in chats
61,2020-04-28 21:09:44+00:00,@apieparty - totally perfect sweet pies now delivered UK wide 
62,2020-04-28 21:06:59+00:00,Tortura
63,2020-04-28 21:04:13+00:00, 
64,2020-04-28 20:58:23+00:00,"Thanks for your kind message. I hope sharing my experience, strength and hope can help others."
65,2020-04-28 20:57:04+00:00,"Thanks for sharing Chris. I really identify. Your honesty on social media about your addiction is very noble. Congratulations on your sobriety and sharing the message of strength, hope and gratitude "
66,2020-04-28 20:56:56+00:00,"And big orange baby, make three."
